ticker,date,close,open,low,high,volume
SPY,12-Feb-07,143.45,143.94,143.19,144.04,"65,663,228"
SPY,9-Feb-07,143.94,145.06,143.39,145.33,"79,086,500"
SPY,8-Feb-07,145.02,144.78,144.27,145.12,"70,648,000"
SPY,7-Feb-07,145.21,145.12,144.57,145.36,"55,695,600"
SPY,6-Feb-07,144.89,144.97,144.33,145.03,"57,084,900"
SPY,5-Feb-07,144.85,144.7,144.34,144.94,"45,751,400"
SPY,2-Feb-07,144.81,144.73,144.38,144.95,"49,607,700"
SPY,1-Feb-07,144.61,144.15,143.91,144.66,"69,317,300"
SPY,31-Jan-07,143.75,142.63,142.4,144.13,"91,905,000"
SPY,30-Jan-07,142.79,142.35,142.06,142.86,"70,424,100"
SPY,29-Jan-07,142.05,142.19,141.74,142.8,"66,216,700"
SPY,26-Jan-07,142.16,142.57,141.58,142.65,"74,588,300"
SPY,25-Jan-07,142.26,143.84,142.01,143.92,"74,967,600"
SPY,24-Jan-07,143.95,142.97,142.91,143.98,"56,469,800"
SPY,23-Jan-07,142.8,142.26,142.06,143.08,"54,091,000"
SPY,22-Jan-07,142.38,143.07,141.93,143.1,"60,263,300"
SPY,19-Jan-07,142.82,142.54,142.46,143.1,"56,983,900"
SPY,18-Jan-07,142.54,143.17,142.31,143.26,"68,263,800"
SPY,17-Jan-07,143.02,142.85,142.73,143.46,"51,598,500"
SPY,16-Jan-07,142.96,143.07,142.73,143.44,"44,990,100"
SPY,12-Jan-07,143.24,142.12,142.11,143.24,"57,641,900"
SPY,11-Jan-07,142.16,141.56,141.5,142.62,"55,533,200"
SPY,10-Jan-07,141.54,140.58,140.3,141.57,"72,484,100"
SPY,9-Jan-07,141.07,141.31,140.4,141.6,"75,730,400"
SPY,8-Jan-07,141.19,140.82,140.25,141.41,"71,676,000"
SPY,5-Jan-07,140.54,141.33,140.38,141.4,"76,696,700"
SPY,4-Jan-07,141.67,141.23,140.61,142.05,"69,638,900"
SPY,3-Jan-07,141.37,142.25,140.57,142.86,"94,846,800"
SPY,29-Dec-06,141.62,142.1,141.43,142.54,"45,468,600"
SPY,28-Dec-06,142.21,142.41,141.99,142.7,"37,292,100"
SPY,27-Dec-06,142.51,141.87,141.83,142.6,"39,734,000"
SPY,26-Dec-06,141.58,140.81,140.78,141.61,"32,700,100"
SPY,22-Dec-06,140.75,141.64,140.67,141.65,"62,074,300"
SPY,21-Dec-06,141.62,142.27,141.32,142.43,"48,698,800"
SPY,20-Dec-06,142.14,142.28,142.01,142.66,"41,473,800"
SPY,19-Dec-06,142.22,141.55,141.19,142.56,"65,077,800"
SPY,18-Dec-06,141.95,142.54,141.75,142.88,"48,957,900"
SPY,15-Dec-06,142.34,142.64,142.24,142.89,"70,860,200"
SPY,14-Dec-06,143.12,141.86,141.84,143.24,"64,780,600"
SPY,13-Dec-06,141.87,142.23,141.56,142.34,"55,570,000"
SPY,12-Dec-06,141.72,141.69,140.89,141.87,"77,461,200"
SPY,11-Dec-06,141.83,141.42,141.34,142.09,"39,784,100"
SPY,8-Dec-06,141.42,141.13,140.78,141.9,"79,625,500"
SPY,7-Dec-06,141.16,142.03,141.11,142.3,"62,857,400"
SPY,6-Dec-06,141.78,141.87,141.5,142.07,"53,327,400"
SPY,5-Dec-06,141.9,141.56,141.26,141.96,"73,383,600"
SPY,4-Dec-06,141.29,140.25,140.23,141.55,"87,816,400"
SPY,1-Dec-06,140.22,140.53,138.97,140.66,"126,159,100"
SPY,30-Nov-06,140.53,140.44,139.76,141.05,"83,999,100"
SPY,29-Nov-06,140.47,139.47,139.08,140.53,"91,542,100"
SPY,28-Nov-06,139.02,138.24,138.11,139.16,"106,671,500"
SPY,27-Nov-06,138.42,140.28,138.38,140.35,"84,551,400"
SPY,24-Nov-06,140.35,140.24,140.2,140.84,"30,998,500"
SPY,22-Nov-06,140.92,140.75,140.5,141.16,"45,508,800"
SPY,21-Nov-06,140.64,140.49,140.29,140.67,"51,373,900"
SPY,20-Nov-06,140.5,140.3,139.94,140.74,"69,190,900"
SPY,17-Nov-06,140.42,139.93,139.73,140.43,"56,358,200"
SPY,16-Nov-06,140.38,140.44,139.49,140.68,"76,749,000"
SPY,15-Nov-06,140.02,139.57,139.53,140.45,"76,521,400"
SPY,14-Nov-06,139.62,138.97,138.12,139.74,"96,722,200"
SPY,13-Nov-06,138.58,138.18,138.07,139.04,"59,414,600"
SPY,10-Nov-06,138.24,138.14,137.72,138.34,"48,992,000"
SPY,9-Nov-06,138.18,139.01,137.9,139.14,"95,920,200"
SPY,8-Nov-06,138.91,138,136.86,139.05,"87,521,900"
SPY,7-Nov-06,138.61,138.2,138,138.98,"63,391,700"
SPY,6-Nov-06,138.08,136.96,136.95,138.28,"63,314,500"
SPY,3-Nov-06,136.54,137.27,135.62,137.39,"71,346,400"
SPY,2-Nov-06,136.78,136.51,136.36,137.01,"60,703,900"
SPY,1-Nov-06,136.86,138.22,136.72,138.31,"83,006,800"
SPY,31-Oct-06,137.79,138.07,137.25,138.26,"71,298,400"
SPY,30-Oct-06,137.81,137.66,137.4,138.2,"49,718,100"
SPY,27-Oct-06,137.91,138.61,137.63,138.75,"80,240,900"
SPY,26-Oct-06,138.78,138.66,137.98,139,"66,848,900"
SPY,25-Oct-06,138.35,137.74,137.51,138.41,"80,754,100"
SPY,24-Oct-06,137.88,137.28,137.22,137.93,"51,020,600"
SPY,23-Oct-06,137.47,136.56,136.39,137.8,"66,237,400"
SPY,20-Oct-06,136.84,136.81,136.33,136.95,"48,099,700"
SPY,19-Oct-06,136.81,136.39,136.23,136.88,"64,084,400"
SPY,18-Oct-06,136.59,137.04,136.1,137.37,"87,382,100"
SPY,17-Oct-06,136.41,136.47,135.67,136.7,"90,787,300"
SPY,16-Oct-06,136.84,136.52,136.42,137.05,"42,323,200"
SPY,13-Oct-06,136.63,136.16,136.04,136.71,"53,945,500"
SPY,12-Oct-06,136.28,135.45,135.4,136.39,"59,186,600"
SPY,11-Oct-06,135.11,134.84,134.3,135.43,"104,079,100"
SPY,10-Oct-06,135.27,135.11,134.84,135.45,"56,441,400"
SPY,9-Oct-06,135.09,134.85,134.64,135.3,"41,177,900"
SPY,6-Oct-06,135.01,134.95,134.4,135.1,"65,001,800"
SPY,5-Oct-06,135.18,134.92,134.75,135.41,"60,642,900"
SPY,4-Oct-06,134.92,133.23,133.08,135,"80,897,100"
SPY,3-Oct-06,133.36,132.89,132.65,133.87,"73,112,800"
SPY,2-Oct-06,133.08,133.54,132.34,133.83,"52,445,500"
SPY,29-Sep-06,133.58,133.8,133.48,133.94,"47,994,200"
SPY,28-Sep-06,133.69,133.74,133.28,133.99,"58,603,600"
SPY,27-Sep-06,133.74,133.49,133.27,133.97,"82,434,300"
SPY,26-Sep-06,133.58,132.5,132.4,133.6,"74,019,600"
SPY,25-Sep-06,132.48,131.73,131.05,132.85,"92,299,100"
SPY,22-Sep-06,131.47,131.67,131,131.68,"65,969,200"
SPY,21-Sep-06,131.87,132.61,131.42,132.75,"88,947,500"
SPY,20-Sep-06,132.51,132.25,132.06,132.77,"75,213,400"
SPY,19-Sep-06,131.81,132.12,131.07,132.13,"92,108,400"
SPY,18-Sep-06,132.14,131.79,131.65,132.39,"64,178,000"
SPY,15-Sep-06,131.96,132.31,131.68,132.39,"76,716,600"
SPY,14-Sep-06,132.23,131.96,131.75,132.24,"57,821,300"
SPY,13-Sep-06,132.22,131.64,131.52,132.45,"62,931,800"
SPY,12-Sep-06,131.69,130.56,130.37,131.84,"69,899,500"
SPY,11-Sep-06,130.41,129.86,129.48,130.69,"68,500,000"
SPY,8-Sep-06,130.28,130.08,129.83,130.46,"45,107,700"
SPY,7-Sep-06,129.91,130.06,129.35,130.57,"86,302,600"
SPY,6-Sep-06,130.51,131.11,130.33,131.16,"53,797,100"
SPY,5-Sep-06,131.67,131.51,131.2,131.85,"52,350,500"
SPY,1-Sep-06,131.42,131.14,130.84,131.58,"48,801,600"
SPY,31-Aug-06,130.64,130.85,130.58,130.99,"38,585,400"
SPY,30-Aug-06,130.66,130.87,130.55,131.04,"50,056,400"
SPY,29-Aug-06,130.58,130.49,129.81,130.83,"61,817,800"
SPY,28-Aug-06,130.43,129.65,129.64,130.82,"52,681,500"
SPY,25-Aug-06,129.81,129.64,129.55,130.25,"41,757,900"
SPY,24-Aug-06,129.65,129.99,129.4,130.1,"57,983,500"
SPY,23-Aug-06,129.76,130.18,129.19,130.44,"66,625,800"
SPY,22-Aug-06,130.12,129.94,129.68,130.52,"60,850,500"
SPY,21-Aug-06,130.13,130.18,129.8,130.28,"42,134,200"
SPY,18-Aug-06,130.69,130.19,129.59,130.69,"58,290,000"
SPY,17-Aug-06,130.03,129.58,129.49,130.37,"71,065,800"
SPY,16-Aug-06,129.79,129.32,129.04,129.89,"71,760,000"
SPY,15-Aug-06,128.63,128.21,127.9,128.87,"68,165,900"
SPY,14-Aug-06,127.11,127.63,126.92,128.16,"58,044,500"
SPY,11-Aug-06,127.01,127.17,126.39,127.2,"47,490,500"
SPY,10-Aug-06,127.37,126.53,126.28,127.5,"69,325,900"
SPY,9-Aug-06,126.98,128.2,126.61,128.6,"78,918,100"
SPY,8-Aug-06,127.41,128.09,126.95,128.46,"90,901,300"
SPY,7-Aug-06,127.95,127.9,127.4,128.08,"45,434,700"
SPY,4-Aug-06,128.2,129.06,127.48,129.43,"96,298,400"
SPY,3-Aug-06,128.42,127.33,127.15,128.55,"63,737,500"
SPY,2-Aug-06,128.08,127.58,127.55,128.46,"64,792,900"
SPY,1-Aug-06,127.22,127.34,126.6,127.38,"65,225,600"
SPY,31-Jul-06,127.85,127.66,127.45,127.96,"49,593,100"
SPY,28-Jul-06,127.98,126.99,126.86,128.14,"82,138,900"
